Primary emotion,Secondary emotion,Tertiary emotion,value
postive,love,admiration,20
postive,joy,amusement,3
negative,anger,anger,0
negative,anger,annoyance,1
neutral,neutral,approval,3
postive,love,caring,5
neutral,neutral,confusion,0
neutral,neutral,curiosity,2
postive,love,desire,1
negative,sadness,disappointment,5
negative,sadness,disapproval,1
negative,anger,disgust,1
negative,sadness,embarrassment,0
postive,joy,excitement,2
negative,fear,fear,0
postive,love,gratitude,1
negative,sadness,grief,0
postive,joy,joy,1
postive,love,love,10
negative,fear,nervousness,0
postive,joy,optimism,0
postive,joy,pride,0
neutral,neutral,realization,0
postive,joy,relief,0
negative,sadness,remorse,0
negative,sadness,sadness,2
negative,fear,surprise,1
